collection_name,month,day,year,count,time
Azuki,6,8,2022,264,6/8/2022
Azuki,6,9,2022,189,6/9/2022
Azuki,6,10,2022,463,6/10/2022
Azuki,6,11,2022,448,6/11/2022
Azuki,6,12,2022,502,6/12/2022
Azuki,6,13,2022,959,6/13/2022
Azuki,6,14,2022,520,6/14/2022
Azuki,6,15,2022,593,6/15/2022
Azuki,6,16,2022,584,6/16/2022
Azuki,6,17,2022,774,6/17/2022
Bored Ape Yacht Club,1,1,2022,1534,1/1/2022
Bored Ape Yacht Club,1,2,2022,1323,1/2/2022
Bored Ape Yacht Club,1,3,2022,1311,1/3/2022
Bored Ape Yacht Club,1,4,2022,898,1/4/2022
Bored Ape Yacht Club,1,5,2022,953,1/5/2022
Bored Ape Yacht Club,1,6,2022,737,1/6/2022
Bored Ape Yacht Club,1,7,2022,680,1/7/2022
Bored Ape Yacht Club,1,8,2022,652,1/8/2022
Bored Ape Yacht Club,1,9,2022,902,1/9/2022
Bored Ape Yacht Club,1,10,2022,871,1/10/2022
Bored Ape Yacht Club,1,11,2022,705,1/11/2022
Bored Ape Yacht Club,1,12,2022,624,1/12/2022
Bored Ape Yacht Club,1,13,2022,677,1/13/2022
Bored Ape Yacht Club,1,14,2022,597,1/14/2022
Bored Ape Yacht Club,1,15,2022,923,1/15/2022
Bored Ape Yacht Club,1,16,2022,741,1/16/2022
Bored Ape Yacht Club,1,17,2022,638,1/17/2022
Bored Ape Yacht Club,1,18,2022,601,1/18/2022
Bored Ape Yacht Club,1,19,2022,614,1/19/2022
Bored Ape Yacht Club,1,20,2022,673,1/20/2022
Bored Ape Yacht Club,1,21,2022,780,1/21/2022
Bored Ape Yacht Club,1,22,2022,605,1/22/2022
Bored Ape Yacht Club,1,23,2022,517,1/23/2022
Bored Ape Yacht Club,1,24,2022,843,1/24/2022
Bored Ape Yacht Club,1,25,2022,1088,1/25/2022
Bored Ape Yacht Club,1,26,2022,815,1/26/2022
Bored Ape Yacht Club,1,27,2022,944,1/27/2022
Bored Ape Yacht Club,1,28,2022,851,1/28/2022
Bored Ape Yacht Club,1,29,2022,1056,1/29/2022
Bored Ape Yacht Club,1,30,2022,1191,1/30/2022
Bored Ape Yacht Club,1,31,2022,1601,1/31/2022
Bored Ape Yacht Club,2,1,2022,958,2/1/2022
Bored Ape Yacht Club,2,2,2022,941,2/2/2022
Bored Ape Yacht Club,2,3,2022,664,2/3/2022
Bored Ape Yacht Club,2,4,2022,699,2/4/2022
Bored Ape Yacht Club,2,5,2022,716,2/5/2022
Bored Ape Yacht Club,2,6,2022,669,2/6/2022
Bored Ape Yacht Club,2,7,2022,746,2/7/2022
Bored Ape Yacht Club,2,8,2022,691,2/8/2022
Bored Ape Yacht Club,2,9,2022,717,2/9/2022
Bored Ape Yacht Club,2,10,2022,708,2/10/2022
Bored Ape Yacht Club,2,11,2022,564,2/11/2022
Bored Ape Yacht Club,2,12,2022,605,2/12/2022
Bored Ape Yacht Club,2,13,2022,643,2/13/2022
Bored Ape Yacht Club,2,14,2022,653,2/14/2022
Bored Ape Yacht Club,2,15,2022,670,2/15/2022
Bored Ape Yacht Club,2,16,2022,622,2/16/2022
Bored Ape Yacht Club,2,17,2022,760,2/17/2022
Bored Ape Yacht Club,2,18,2022,719,2/18/2022
Bored Ape Yacht Club,2,19,2022,698,2/19/2022
Bored Ape Yacht Club,2,20,2022,1151,2/20/2022
Bored Ape Yacht Club,2,21,2022,660,2/21/2022
Bored Ape Yacht Club,2,22,2022,775,2/22/2022
Bored Ape Yacht Club,2,23,2022,776,2/23/2022
Bored Ape Yacht Club,2,24,2022,1073,2/24/2022
Bored Ape Yacht Club,2,25,2022,974,2/25/2022
Bored Ape Yacht Club,2,26,2022,771,2/26/2022
Bored Ape Yacht Club,2,27,2022,737,2/27/2022
Bored Ape Yacht Club,2,28,2022,648,2/28/2022
Bored Ape Yacht Club,3,1,2022,740,3/1/2022
Bored Ape Yacht Club,3,2,2022,738,3/2/2022
Bored Ape Yacht Club,3,3,2022,681,3/3/2022
Bored Ape Yacht Club,3,4,2022,696,3/4/2022
Bored Ape Yacht Club,3,5,2022,601,3/5/2022
Bored Ape Yacht Club,3,6,2022,599,3/6/2022
Bored Ape Yacht Club,3,7,2022,917,3/7/2022
Bored Ape Yacht Club,3,8,2022,1172,3/8/2022
